platform,video_id,comment_id,author,author_id,content,like_count,reply_count,publish_time,ip_location,sentiment,mentioned_games
youtube,P4yW2GX-17g,Ugz-4V3ZW7cIcqX98Ut4AaABAg,@深心Deep,UCQBGGk_zqGDwRyDug6w8bwg,"此遊戲之標準步驟流程：
1.購買並下載此遊戲。
2.辦理並登入帳號。
3.加入伺服器並開始遊玩。
4.被小隊長飆罵。
5.錄音。
6.請律師寄律師函。
7.上法院。
8.領取和解金。
9.依序重複第三至第九步驟。",342,0,2 years ago (edited),,,
youtube,P4yW2GX-17g,UgxqwFurHi2u4oag0zh4AaABAg,@陳柏源-h9y,UCu6VBt-Lyhdmtj_XUInOi6w,我對戰術小隊的印象：小靈通歡樂送😂,180,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugz3nYEIX9nxQ8GPE7F4AaABAg,@楊杰霖-q4r,UCyrKEmxN4XqcKi3urlSrkjQ,個人最喜歡當醫療兵到處拉人救隊友，容易上手體驗感好，某種程度上來說還受人尊重XD,61,0,2 years ago,,,
youtube,P4yW2GX-17g,UgyRgR9KmY_oUlzSXY94AaABAg,@leopard359,UC71Md3OTePqjGA1HE7xFDDg,大陆玩家不是要把兵站建在攻略指定的地方，而是要建在不是那么容易被发现，不是那么容易被炮击的地方，这样的话，才能减少被找到的概率，减少被炮击的概率。,6,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugw5VlbhLT3hWd7ijwR4AaABAg,@stu70283,UC1JlHhIVly4nT0moxrhJRfQ,之前剛玩squad又沒有麥克風，小隊長問有沒有麥克風只能在那邊搖頭XD，後來小隊在小鎮下車準備建造防禦工事時只有我注意到後面繞了一台bmp過來我又不能叫只好亂開槍吸引隊友注意，最後還是死了一堆人，玩squad 麥克風是必備品。,38,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugz6f4XhU4rY4X_5Gy14AaABAg,@tsaiandy221,UCWOpnwzi1EgCGhU-VZZ3KIg,4:46 笑到害我的嘴裡的飯噴出來 ＸＤＤ,5,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugx7tIhlVD7hxxn0qsh4AaABAg,@孤狼-u4s,UCHd5u6QfCGsWYuoxlkVRL1Q,"以一個200多個小時的SQUAD玩家來講
陸服其實可以玩得很開心
只要說我是新手基本都會教學，就算開車也會手把手教你
只有幾點要注意
犯錯不要怕被罵，承認自己的錯誤，就算搞不懂，他們也知道你是新手，一般不要犯太大的錯基本不會怪你
不要建隊當隊長，建議有基本觀念，或是找人帶，大家玩這遊戲就是為了打仗，我們都希望我們的隊長是溫特斯或是斯皮爾斯，而不是戴克中尉
要玩筒子(火箭筒)建議去練習場練練，真的不練是真的打不到，還是剛才那句，我們是來打仗的，打仗的人不會到了戰場才在射擊訓練
以上
基本沒遇到過甚麼太刁難的陸服玩家，大家都是來打遊戲的，遊戲終究還是遊戲，不過打遊戲還是一種態度，你要用隨便的態度去面對別人，你也做好心理準備去面對別人的冷眼相向",142,0,2 years ago,,,
youtube,P4yW2GX-17g,UgxaC4iTJbKulZOXDyh4AaABAg,@mouseii88,UCv9LjLcBN0aiEuM4od2q4HA,"美服以前有非常專業的玩家，體驗很棒。但後來隨遊戲玩家成長越來越休閒，一方只要有一隊優秀玩家就可能一路推，還蠻無聊的。也很多一人戰神，沒事就一個孤狼偷襲把隊伍給滅了，現在團隊體驗沒那麼好。

不過最近在測試新的系統，希望能重新強調團隊合作。也希望battlebit的刺激下趕快補一補各種敲碗很久的功能。",7,0,2 years ago,,,
youtube,P4yW2GX-17g,UgwdktFOElJ-c2DVw_F4AaABAg,@sideeffect8137,UCvX2RlqE-i1tMLY6UDsC5yA,這遊戲真的是精神時光屋，有時候早上起來兩個兩把就差不多要吃晚餐了,3,0,2 years ago,,,
youtube,P4yW2GX-17g,UgynznqJodeO-qlC6oF4AaABAg,@Guliyan,UC2NVfFrkMzXXDQ6mL7J9J1g,Squad需要的是會火力壓制，又保自己不死的技術，和集結能力的隊長。,5,0,2 years ago (edited),,,
youtube,P4yW2GX-17g,UgzqeAbiRpc71ejWlbR4AaABAg,@willy466964,UCSaeqwyZDh6bajncDFs4lgQ,SQUAD真心推，是款好遊戲,6,0,2 years ago,,,
youtube,P4yW2GX-17g,UgwAEfAP3q7Er4NJYSN4AaABAg,@25999ab,UCyvv8Mz957Fa6BXhxdBeoCQ,這系列感覺很有潛力 期待做人間煉獄和嚴陣以待:face-blue-smiling:,4,0,2 years ago,,,
youtube,P4yW2GX-17g,UgwlVVJafONUt-UwG-Z4AaABAg,@random_145,UCWRLxsx5C4Q13lcRO7oW0fQ,我對這遊戲最深刻的記憶是有一次我埋地雷炸死了大約十個隊友......,2,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugxvd1heFwtdya5I6T14AaABAg,@kao4862,UC_YGbnSTzAuD5suLF3skxeg,默默的看了一眼放在旁邊的英文書，為了squad拼了！,1,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugz1VdEnDtVZjnKuvRx4AaABAg,@garylai3658,UC72qVYWzjOsQgV8ZyTJqHgg,"水喔！
希望以後有多一點這系列",1,0,2 years ago,,,
youtube,P4yW2GX-17g,UgzGrlUptsJ9vaqRRwJ4AaABAg,@howardshen521,UCxZIGFZnwzalEHbjB2v1QLQ,玩過絲瓜的我，是真心希望國防部可以把 敵我識別 認真的成為一個課程，遊戲裡（加軍 vs 俄軍）只要遠一點不開地圖確認基本上分不太清楚，我覺得不管是拿高仿或是能夠搞到真品戰鬥裝，請真人穿出來跟我們的戰鬥裝做差異對比，不然到時候敵人都走到旁邊了還不知道他是敵人，講難聽一點 175射擊練得多準又多準，結果打到自己人那一切都白費了，現實世界裡沒辦法公屏打sorry幫他打個繃帶就好了，友軍tk 死了就是死了,80,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugx2gLSf7cJ9-PvyepR4AaABAg,@kencheng5325,UCwmQXhc1zGh54zAvw36kC4Q,真心喜歡這個新系列，感謝辛苦製作分享 👍🏻！,0,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugztb1BntfCX_l7ItXB4AaABAg,@Гагарин0412,UCfRC-dzhtMUTd60bCxZ3PNQ,"不正規民兵軍團,遊戲內我們都直接叫車臣",2,0,2 years ago,,,
youtube,P4yW2GX-17g,UgwR4XQ2XPckuNla_ZZ4AaABAg,@e8482g,UCDqSl6RsSdZuphEf-D3n1XA,不開麥的我，只能眼睜睜看著這款遊戲，然後選擇跳過😂,0,0,1 year ago,,,
youtube,P4yW2GX-17g,UgxHhYV6d630RvpLPrl4AaABAg,@lk4332101,UCQ-NHboOIo4ec-Sy2R0fAzQ,感謝瘋哥推廣squad(讚讚:yougotthis::yougotthis:,1,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugz-4V3ZW7cIcqX98Ut4AaABAg.9ruciD44jYt9rxKttzyQl1,@haoweihu1255,UC9Mjle2zJSDsz80g8q1gbgw,都是大陸人，跨國訴訟阿這是,20,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugz-4V3ZW7cIcqX98Ut4AaABAg.9ruciD44jYt9rxMnTA-yOB,@cheungwai318,UCYNvcO2iEnlE9Ms8BvmtThg,其實台灣這條法例蠻無理的,10,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugz-4V3ZW7cIcqX98Ut4AaABAg.9ruciD44jYtAGGwFDC-qxF,@edl5665,UCA0hKEAIBac-KhEPrdZF4Wg,这方法只限以同个国家，如果不同国家是没用的,1,0,1 year ago,,,
youtube,P4yW2GX-17g,Ugz-4V3ZW7cIcqX98Ut4AaABAg.9ruciD44jYt9sAoHRhKP9i,@74174home,UCTD9Mq9WGG27LtGr_cFCiLQ,所以真的有人因為這樣領取和解金嗎 哈哈哈哈,0,0,2 years ago,,,
youtube,P4yW2GX-17g,UgxqwFurHi2u4oag0zh4AaABAg.9ruKMJnmfTj9rwCMwPdPdQ,@HOAYAUNG,UCDjXkX0vFyaczZGL7-OX45Q,老6不要過來阿！,5,0,2 years ago,,,
youtube,P4yW2GX-17g,UgxqwFurHi2u4oag0zh4AaABAg.9ruKMJnmfTj9rymenbvzkS,@AC_440,UCgbkiQhMiVcUso1AVRZHUUg,阿拉花瓜😅,3,0,2 years ago,,,
youtube,P4yW2GX-17g,UgxqwFurHi2u4oag0zh4AaABAg.9ruKMJnmfTj9s0rRJ_UaJw,@angelinebryan6691,UCNiMntskImXbyD5cZUxRNlw,"当我第一次遇见老六：我$）@＆＃＆＆@
第N次：习惯了
当老六时：我要炸十个，谁也别拦我",3,0,2 years ago,,,
youtube,P4yW2GX-17g,UgxqwFurHi2u4oag0zh4AaABAg.9ruKMJnmfTj9s0zCHl6slU,@陳柏源-h9y,UCu6VBt-Lyhdmtj_XUInOi6w, @angelinebryan6691  打不過就加入，天經地義,4,0,2 years ago (edited),,,
youtube,P4yW2GX-17g,UgxqwFurHi2u4oag0zh4AaABAg.9ruKMJnmfTj9ruuD8QqskS,@e__y9103,UCtvWTm8CqE8kFRv6JMn_YwA,IED 好像没了,2,0,2 years ago,,,
youtube,P4yW2GX-17g,UgxqwFurHi2u4oag0zh4AaABAg.9ruKMJnmfTj9ruwFODR5OD,@Guts先生,UCNRK4Q_O0tSQpigOAcZrMrQ, @e__y9103  (;´༎ຶД༎ຶ`),0,0,2 years ago (edited),,,
youtube,P4yW2GX-17g,UgxqwFurHi2u4oag0zh4AaABAg.9ruKMJnmfTj9ruMU-nNrNd,@劉杰翰-m9q,UCV6QChGMV9jIk0ye9d28MOQ,錯了 是一款專業的老六遊戲 因為有人可以在你想不到的位置修築反坦克導彈陣地,37,0,2 years ago,,,
youtube,P4yW2GX-17g,UgxqwFurHi2u4oag0zh4AaABAg.9ruKMJnmfTj9ruPfLeBu9Y,@下宇,UCWlV6nL8yb6lW6wfYewIuSQ,​ @劉杰翰-m9q 別人對遊戲的印象又不是所有人對遊戲的印象，直接否定別人是三小😂,18,0,2 years ago (edited),,,
youtube,P4yW2GX-17g,UgxqwFurHi2u4oag0zh4AaABAg.9ruKMJnmfTj9ruRLF_xNec,@Guts先生,UCNRK4Q_O0tSQpigOAcZrMrQ,"不怕老六，只怕有重火力的老六。

我的老六日常實用工具與技巧

工具：
履帶減速器、小靈通、反坦克手雷（拿來反步兵）、家鄉的大狙、防空炮、反坦克導彈。

我的專長：在地越南人、重生點粉碎者、火力覆蓋、阿拉花瓜。",38,0,2 years ago (edited),,,
youtube,P4yW2GX-17g,UgxqwFurHi2u4oag0zh4AaABAg.9ruKMJnmfTj9ruTvI11C_3,@劉杰翰-m9q,UCV6QChGMV9jIk0ye9d28MOQ, @Guts先生  好家夥 你是真專業 直接包辦了敵人的喪葬服務,16,0,2 years ago (edited),,,
youtube,P4yW2GX-17g,Ugz3nYEIX9nxQ8GPE7F4AaABAg.9ru_q87G_0K9s45ntThPsL,@qweko6533,UCwdn9tBBJg62l-dzSN4kL5g,"在WT:幫隊友維修
(非常感謝)
真的是成就感爆棚ww
可惜就是沒有賺頭(",7,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugz3nYEIX9nxQ8GPE7F4AaABAg.9ru_q87G_0K9wPKd1Pcr-p,@setup500,UCxMh8QutzASmMNiGjjNabgQ,妹理科~~~,1,0,2 years ago (edited),,,
youtube,P4yW2GX-17g,Ugw5VlbhLT3hWd7ijwR4AaABAg.9ruQ4WSnhaB9ruy5Dv9Bkq,@道奇-k4o,UCDAh8-X_QUUJt4U3EVAEDAQ,這是常識吧 ....,3,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugw5VlbhLT3hWd7ijwR4AaABAg.9ruQ4WSnhaBA0-2zSKxkak,@anti-commie-roc,UCOI4aTHPD8fSJK3jZ4-SEfg,我ㄉ印象：歡迎光臨rpg火力壓制區砲就位,0,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugx7tIhlVD7hxxn0qsh4AaABAg.9rug9NUq7149rwCh-F-rqI,@HOAYAUNG,UCDjXkX0vFyaczZGL7-OX45Q,其實就跟戰雷一樣，你要亂走位到敵軍火線上被秒，或是硬是單機跟一團敵機狗，活該隊友不幫你。,8,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugx7tIhlVD7hxxn0qsh4AaABAg.9rug9NUq714AEOagHSlUp7,@徐海侨,UC_JTfnrF3fbClwVaMXuUBCA,我不同意，这是硬核游戏，我认为还是尽量不要辜负队友，我的建议是，休闲玩家玩休闲游戏去,3,0,1 year ago,,,
youtube,P4yW2GX-17g,Ugx7tIhlVD7hxxn0qsh4AaABAg.9rug9NUq714A8w1K9IoeUl,@auriga6290,UC_bR2DZivAvPYWXW2UYCK-w,這個遊戲大多數東南亞，講的話根本聽不懂...然後整個過程根本不知道要幹嘛，打個遊戲那麼拼命...,1,0,1 year ago,,,
youtube,P4yW2GX-17g,Ugx7tIhlVD7hxxn0qsh4AaABAg.9rug9NUq7149sASCvHUArl,@tetrisbear7658,UCGFww_X9M0fRF6wtmbampyg,這遊戲外掛多嗎,0,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugx7tIhlVD7hxxn0qsh4AaABAg.9rug9NUq7149sVltpO9aZQ,@DNMD1224,UC-XkzN4IwPd7q0M3FCa-Now, @tetrisbear7658 我玩几个小时，根本找不到人,2,0,2 years ago (edited),,,
youtube,P4yW2GX-17g,Ugx7tIhlVD7hxxn0qsh4AaABAg.9rug9NUq7149rwrwuLpOev,@xiaodai125,UCKidIp7dcZc0rrWfLMGfIRA,"还有一点... 别太去提政治或者时事, 除了这几个基本游戏怎么玩他们都乐意怎么玩",16,0,2 years ago,,,
youtube,P4yW2GX-17g,Ugx7tIhlVD7hxxn0qsh4AaABAg.9rug9NUq7149rxsE-GkBuJ,@blitzday,UCMD2o0YM1l7TAhsQS4Scr6A,把台灣的壞習慣帶進陸服，基本都是通報陸服連BAN,4,0,2 years ago,,,
youtube,P4yW2GX-17g,UgzGrlUptsJ9vaqRRwJ4AaABAg.9rvWX447CnP9rzjm7pnFiH,@truezyf,UCiwoIIKh7iGGI1yvpSaob_Q,"现实世界里并不是靠军服分辨敌友。大部分国家的军装都差不多。
主要靠的是战斗位置。开战之前就已经分配好阵地、进攻路线、敌人位置。现实作战不会像游戏里那样到处乱跑。",11,0,2 years ago,,,
youtube,P4yW2GX-17g,UgzGrlUptsJ9vaqRRwJ4AaABAg.9rvWX447CnP9s3gyj4XmvQ,@allen52039,UCLet15V627ohNVkujsTbkDw,"這種訓練各國都有,但也只能減少誤傷而已
如果是小隊戰鬥,不是隊友的士兵就是殺掉
大部隊戰鬥就靠紀律,訓練,溝通,降低誤傷友軍
而且戰前都會講好戰術布置,口令,撤退路線,或是記號辨識等等
不該出現士兵的地方有士兵
或是跑錯出現在火力覆蓋範圍,打就對了....死了也是白死
即使是美軍這種常年戰爭的部隊
他們也不敢說能做到0誤傷
甚至誤傷事件還不少,聯合作戰多多少少都要死一些友軍",8,0,2 years ago,,,
youtube,P4yW2GX-17g,UgzGrlUptsJ9vaqRRwJ4AaABAg.9rvWX447CnP9s5U_5634qn,@user-asswecan,UCLIwdsM0wEiGikccPb7W9fg,玩arma，squad这种有友伤且无队友标识的游戏，敌我识别永远是第一位的，不光是队友被TK了要骂你，你弹药可能也不够你随便乱打,3,0,2 years ago,,,
youtube,P4yW2GX-17g,UgzGrlUptsJ9vaqRRwJ4AaABAg.9rvWX447CnP9s3SmeAUjHk,@Tommy771207,UC_93z4DAJeyCugnia2sdHbA,TK讓對方沒有經驗（X,1,0,2 years ago,,,
youtube,P4yW2GX-17g,UgzGrlUptsJ9vaqRRwJ4AaABAg.9rvWX447CnP9sTcNiSEKvs,@graver6862,UC6y2osEmq5dAnla2UG82seA,這遊戲玩得厲害的都不是軍人,0,0,2 years ago,,,
youtube,P4yW2GX-17g,UgzGrlUptsJ9vaqRRwJ4AaABAg.9rvWX447CnPANiVhYMoNqO,@SHYANG-tt3qv,UC_rLdc9TjW5nyhZREskTQjQ,為了國家奉獻，結果死在自己人的手上，想想都悲哀。,0,0,6 months ago,,,
youtube,P4yW2GX-17g,UgzIXfBTxU2ucZ60RvZ4AaABAg,@fhjuhcxc,UC0AveBsrkh3B_TLPBRCHstw,我都是玩澳洲服 因爲玩家有很多奇葩有趣的 整場很歡樂,3,0,2 years ago,,,
youtube,P4yW2GX-17g,UgziQQAyxp_RP0krwpZ4AaABAg,@SHYANG-tt3qv,UC_rLdc9TjW5nyhZREskTQjQ,解說地很詳細，謝謝。,0,0,2 years ago,,,
youtube,P4yW2GX-17g,UgyUf7I8meUGeGHhm7d4AaABAg,@qaz113211,UCXIb_Di1gjb9FQI8QFuWQ-A,"身為一個玩了1000小時的SQUAD玩家來說
還是去大陸服打比較好玩
英文底子不好 就去對岸打
然後 大致上SQUAD也有對岸的技術人員在協持更新
實質上其實也不錯",1,0,2 years ago,,,
youtube,P4yW2GX-17g,UgzWdYLJZvdgj2g035R4AaABAg,@Sausage-u5g,UCnNwZzE3VpPu_ieaSYvKWhw,我超愛玩這類型的遊戲！ 沒想到現在才看到這影片⋯但！還來得及 買上購買加入戰場！,0,0,1 year ago,,,
youtube,P4yW2GX-17g,Ugw6vfP58Xqa21YY2g54AaABAg,@Bill-koz,UCx7v_xgbGNQM1le7I3lqVwQ,現在才發現有這麼優質的好節目!,0,0,1 year ago,,,
youtube,P4yW2GX-17g,UgxYsO-Whc4a-RmcE2B4AaABAg,@OutOfTheDream1,UCFudzSpa-VQSLfxitUOkAEA,要說壓迫感operation harsh doorstop 也不錯,1,0,1 year ago,,,
youtube,P4yW2GX-17g,Ugwb49jvPfEcqwnL5d14AaABAg,@白蘿蔔-f2s,UCrTmtXBCRUYg51X85pXqA3w,這款遊戲自由度高、內容豐富、玩法上萬種，永遠玩不膩，我個人覺得最好玩的軍事遊戲,0,0,1 year ago,,,
youtube,P4yW2GX-17g,UgwdjIEg_XKLd5zqsZR4AaABAg,@deviljoey_6296,UCOBfh_ck2qR7ZzW0fb8XdUg,我也很喜歡這類型的遊戲🫡 十分刺激十分好玩～,0,0,2 years ago,,,
youtube,P4yW2GX-17g,UgwhsAAZZ_Q4CPBOdAN4AaABAg,@DinoBrothersStudio,UCBbIreHcc1qQppS-rPVUPoA,首推塔克夫,7,0,2 years ago,,,
youtube,P4yW2GX-17g,UgylI0yzr8LDAn_t3XF4AaABAg,@carloskaholeung1562,UCnLDWcXqW9IemCJXhdgzdCQ,我和我朋友的玩法通常是不停在敵人後方騷擾敵人，極速突入，打完就立刻走人，殺個對方措手不及😂,0,0,2 years ago,,,
youtube,P4yW2GX-17g,UgykWaxkQ26k8O_nYdF4AaABAg,@ayung0227,UCBm1f5iWfvgrUKryUqXCHmQ,來了!!!,0,0,2 years ago,,,
youtube,P4yW2GX-17g,UgxM7Z3Ju9-T2cDCQKt4AaABAg,@BTSRoblox,UCWxww2sLabw9gI2SUAhC8Og,我超喜歡戰爭遊戲，就算要很久才能遇到人，我都還是超喜歡，只是沒辦法玩就是了,0,0,2 years ago,,,
youtube,P4yW2GX-17g,UgxFVal56g9-b5JPf014AaABAg,@r.o.cloyalty,UCfZWiMbNCNdQLxMqssUllpg,第一次聽到這個遊戲 有空來玩😊,0,0,2 years ago,,,
youtube,P4yW2GX-17g,UgyaGyn0Ti5GxtJwp0t4AaABAg,@Ivan-ds4cx,UCXS3PYAQlQ9jxGUfnS55wjg,"現在很多遊戲 可以當作""觀念建立""的工具 
我覺得最好來一次 考核 

陸 士- 尉 推 SQUAD
尉-校 推 WARNO (做完釋出1.0後)
校-將 推 command mordern operation 
尤其將官 媽逼 推不過直接 拔掉",57,0,2 years ago,,,
